icone	nb_feuilles_opla	classe	regle_source	feuilles_candidates
🪢	6	NET	ceinture(?!.{0,10}(?:lombaire|à.?outils|de.?sécurité))	BELTS (Ceintures) ; MEN_ACC_BELTS (Ceintures) ; BELTS_GIRLS_NEW (Ceintures) ; BELTS_BOYS_NEW (Ceintures) ; PREGNANCY_BELT (Ceintures de grossesse) ; SPORT_MARTIAL_BELTS (Ceintures d'arts martiaux)
☂️	2	NET	parapluie|ombrelle	W_ACC_UMBRELLAS (Parapluies) ; BUGGY_COVERS (Habillages pluie et ombrelles)
🗝️	1	NET	porte[sx]?.?cl[ée]s?\b	KEY_RINGS (Porte-clés)
🛴	0	SANS_EQUIVALENT	trottinette|hoverboard|gyroroue|monoroue	
📱	2	NET	iphone|smartphone|téléphone|galaxy|\bpixel\b|xiaomi|oneplus	HIGHTECH_COQUES_TELEPHONE (Coques et étuis de téléphone) ; HIGHTECH_SUPPORTS_GRIPS (Supports, anneaux et bijoux de téléphone)
🖥️	0	SANS_EQUIVALENT	carte[sx]?.?graphique|carte.?m[èe]re|\bgpu\b|\brtx\b|geforce	
💻	1	NET	macbook|laptop|ordinateur[sx]?.?portable|notebook|chromebook	HOUSSES_ORDINATEUR_PORTABLE (Housses pour ordinateur portable)
🖥️	3	NET	\bpc\b|imac|ordinateur|écran|moniteur	JEUX_VIDEO_PC (Jeux PC) ; HOUSSES_ORDINATEUR_PORTABLE (Housses pour ordinateur portable) ; HIGHTECH_PROTECTIONS_ECRAN (Protections d’écran)
📲	1	NET	tablette(?!.{0,4}de.?chocolat)|ipad|galaxy[sx]?.?tab	HIGHTECH_HOUSSES_TABLETTE (Housses de tablette et liseuse)
🎧	10	AMBIGU	écouteur|airpods?|earbud|casque|headphone	HIGHTECH_AUDIO_CASQUES (Casques et écouteurs) ; CAPS (Casquettes) ; MEN_ACC_HAT_CAPS (Casquettes) ; HATS_GIRLS_NEW (Casquettes, chapeaux et bonnets) ; CAPS_BOYS_NEW (Casquettes, chapeaux et bonnets) ; SPORT_BIKE_HELMETS (Casques de vélo) ; SPORT_HORSE_HELMET_COVERS (Couvre-casques d'équitation) ; SPORT_WATER_HELMETS (Casques pour sports nautiques)
🔊	0	SANS_EQUIVALENT	(?<!femmes?\s)enceinte|haut[sx]?.?parleur|speaker|barre[sx]?	
🎮	5	NET	console(?!s?\s*(?:de\s*mixage|d['’]entrée|murale|extensible)	CONSOLES_PORTABLES (Consoles portables) ; CONSOLES_DE_SALON (Consoles de salon) ; JEUX_VIDEO_PLAYSTATION (Jeux PlayStation) ; JEUX_VIDEO_XBOX (Jeux Xbox) ; JEUX_VIDEO_NINTENDO (Jeux Nintendo)
🛋️	0	SANS_EQUIVALENT	meuble.?(?:tv|t[ée]l[ée]|hi.?fi)	
📦	1	NET	veilleuse	KIDS_NIGHT_LIGHTS (Veilleuses)
📺	1	NET	\btv\b|télé(?![a-zà-ÿ])|téléviseur|télévision|projecteur|vid	HC_MEMORABILIA_FILMTV (Souvenirs TV et cinéma)
📷	1	NET	appareil[sx]?.?photo|caméra|camera|reflex|gopro|objectif(?!s	KID_CAMERA (Appareils photo pour enfant)
🛸	0	SANS_EQUIVALENT	drone	
🖨️	0	SANS_EQUIVALENT	imprimante|scanner	
⌨️	0	SANS_EQUIVALENT	clavier	
🖱️	0	SANS_EQUIVALENT	souris	
🛋️	0	SANS_EQUIVALENT	canapé|sofa|fauteuil|banquette|pouf	
🏋️	0	SANS_EQUIVALENT	banc.?(?:de.?)?(?:muscu|gym|fitness|abdo|développé)|banc[sx]	
🪑	0	SANS_EQUIVALENT	chaise|tabouret|\bbanc\b	
🛏️	7	AMBIGU	\blit\b|matelas|sommier|couette|(?<![\p{L}\p{N}])draps?(?![\	CHANGING_MATS (Matelas à langer) ; CHANGING_MAT_COVER (Housses de matelas à langer) ; CHANGING_MAT_PORTABLE (Matelas à langer nomades) ; KID_MATTRESS_COVER (Draps-housses et alèses) ; KID_SHEETS (Draps) ; KID_NESTS (Réducteurs de lit) ; MAISON_TEXTILE_BEDDING (Linge de lit)
💡	2	NET	lampe|luminaire|applique|suspension|lampadaire|(?<![\p{L}\p{	MAISON_PARTY_BANNERS (Banderoles, drapeaux et guirlandes) ; SPORT_OUTDOOR_LANTERNS (Torches, lampes frontales et lanternes)
🪞	2	NET	miroir	BABY_CAR_MIRROR (Miroirs de voiture) ; MAISON_DECO_MIRRORS (Miroirs)
🕯️	1	NET	bougie(?!s?\s*(?:d['’]allumage|de\s*préchauffage))|photophor	MAISON_DECO_CANDLES (Bougies et parfums d'ambiance)
🖼️	3	NET	cadres?\b(?!\s*(?:de\s*)?(?:vélo|vtt|route\b|carbone|alu\b|l	KID_EASELS (Tableaux et ardoises) ; KID_PHOTO_FRAME (Cadres photo) ; FAIT_MAIN_BOIS (Bois & gravure (fait main))
🪴	2	NET	plante|cache[sx]?.?pot|jardinière	MAISON_DECO_ARTIFICIAL_PLANTS (Plantes et fleurs artificielles) ; MAISON_OUTDOOR_POTS (Pots, jardinières et accessoires)
🏺	0	SANS_EQUIVALENT	vase\b	
🍽️	7	AMBIGU	assiette|\bbol\b|tasse|\bmug\b|verres?\b(?!\s*tremp)|carafe|	BOLEROS_GIRLS_NEW (Boléros) ; BABY_PLATE_BOWL (Assiettes et bols) ; BABY_SIPPY_CUPS (Tasses d'apprentissage) ; MAISON_TABLE_DRINKWARE (Verres) ; MAISON_TABLE_SERVEWARE (Vaisselle de service) ; MAISON_TABLE_DINNERWARE (Vaisselle) ; MAISON_KT_MEASURING (Tasses et cuillères à mesurer)
🍳	5	NET	casserole|poêle(?!s?\s*à\s*(?:bois|granulés?|pétrole))|cocot	MAISON_KT_UTENSILS (Ustensiles de cuisine) ; MAISON_KT_SPECIALTY_UTENSILS (Ustensiles de cuisine spécialisés) ; MAISON_BAKING_POTS (Casseroles) ; MAISON_BAKING_PANS (Poêles) ; SPORT_OUTDOOR_CAMP_COOKING (Réchauds et ustensiles de cuisine de camping)
🖼️	1	NET	(?<!\b(?:au|du|de)\s)bustes?\b(?!\s*de\s*couture)(?!\s+(?:sm	MAISON_DECO_SCULPTURES (Sculptures et figurines)
🪟	1	NET	rideau|voilage|\bstores?\b	MAISON_TEXTILE_CURTAINS (Rideaux et stores)
🪶	3	NET	coussin(?!.{0,14}(?:allaitement|grossesse))|plaid\b|jeté[sx]	BABY_FEEDING_PILLOW (Coussins et couvertures d'allaitement) ; KID_HEATINGPADS (Coussins chauffants et bouillottes) ; MAISON_TEXTILE_CUSHIONS (Coussins décoratifs)
🟫	3	NET	\btapis\b(?!.?(?:de.?)?(?:course|yoga|souris|selle|sol|éveil	HC_STORAGE_PUZZLEMATS (Tapis de puzzle) ; BABY_GYMS (Tapis d'éveil et d'activités) ; MAISON_TEXTILE_RUGS (Tapis)
📜	1	NET	nappe\b|napperon|linge[sx]?.?de.?table	MAISON_TEXTILE_TABLE_LINEN (Linge de table)
🕰️	1	NET	horloge|pendule\b|réveil	MAISON_DECO_CLOCKS (Horloges)
🎄	0	SANS_EQUIVALENT	no[eë]l|guirlande[sx]?.?de.?sapin|boule[sx]?.?de.?sapin|crèc	
